rule,Accuracy,Precision,Recall,F1,MCC,TN,FP,FN,TP
base AND Max_Regressor_PHQ>=4.5268,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=4.89,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=5.05,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=5.2614,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=5.5563,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=5.8086,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=5.88,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.02,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.22,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.3928,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.5459,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.5895,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.63,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ>=6.7948,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Max_Regressor_PHQ<=35.7684,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND PHQ_Score>=0.0,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND PHQ_Score<=22.0,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=0.16,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=0.24,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=1.715,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=1.799,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=1.904,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=2.243,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=2.318,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=2.637,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=3.064,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=3.2,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=3.216,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=3.759,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=3.794,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=4.095,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=4.654,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=5.065,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND RandomForest_Prob>=0.063 AND Mean_Regressor_PHQ>=5.463,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
