training_data,model,scaler,objective,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_MCC,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP,daic_train_rows,external_audio_rows,missing_daic_train_audio,missing_daic_dev_audio,missing_daic_test_audio
DAIC_plus_external_audio,AudioExt_GradientBoosting,robust,f1,0.09000000000000001,0.6285714285714286,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3440312310280933,0.48936170212765956,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.5541125541125541,0.10300633343611347,13,20,4,10,107,800,30,14,15
DAIC_only,AudioExt_LogisticRegression,robust,f1,0.24000000000000005,0.6571428571428571,0.5,0.5,0.5,0.2391304347826087,0.48936170212765956,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.4437229437229437,-0.05157877405578002,17,16,8,6,107,0,30,14,15
DAIC_only,AudioExt_SVC_RBF,robust,f1,0.28,0.4,0.36363636363636365,1.0,0.5333333333333333,0.17782168978975482,0.3617021276595745,0.2777777777777778,0.7142857142857143,0.4,0.3701298701298701,-0.07948960452592614,7,26,4,10,107,0,30,14,15
DAIC_only,AudioExt_SVC_RBF,robust,recall,0.28,0.4,0.36363636363636365,1.0,0.5333333333333333,0.17782168978975482,0.3617021276595745,0.2777777777777778,0.7142857142857143,0.4,0.3701298701298701,-0.07948960452592614,7,26,4,10,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_LogisticRegression,robust,recall,0.060000000000000005,0.34285714285714286,0.3333333333333333,0.9166666666666666,0.4888888888888889,-0.0815016078203043,0.3191489361702128,0.30434782608695654,1.0,0.4666666666666667,0.6861471861471862,0.0960346885066768,1,32,0,14,107,800,30,14,15
DAIC_only,AudioExt_LogisticRegression,standard,f1,0.05,0.4,0.36363636363636365,1.0,0.5333333333333333,0.17782168978975482,0.3191489361702128,0.29545454545454547,0.9285714285714286,0.4482758620689655,0.3885281385281385,-0.020247063781244273,2,31,1,13,107,0,30,14,15
DAIC_only,AudioExt_LogisticRegression,standard,recall,0.05,0.4,0.36363636363636365,1.0,0.5333333333333333,0.17782168978975482,0.3191489361702128,0.29545454545454547,0.9285714285714286,0.4482758620689655,0.3885281385281385,-0.020247063781244273,2,31,1,13,107,0,30,14,15
DAIC_only,AudioExt_ExtraTrees,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.4978354978354978,0.0,0,33,0,14,107,0,30,14,15
DAIC_only,AudioExt_GradientBoosting,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5497835497835498,0.0,0,33,0,14,107,0,30,14,15
DAIC_only,AudioExt_SVC_RBF,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5887445887445888,0.0,0,33,0,14,107,0,30,14,15
DAIC_only,AudioExt_SoftVotingEnsemble,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5021645021645021,0.0,0,33,0,14,107,0,30,14,15
DAIC_only,AudioExt_ExtraTrees,robust,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.4978354978354978,0.0,0,33,0,14,107,0,30,14,15
DAIC_only,AudioExt_GradientBoosting,robust,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5497835497835498,0.0,0,33,0,14,107,0,30,14,15
DAIC_only,AudioExt_SoftVotingEnsemble,robust,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5151515151515151,0.0,0,33,0,14,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_LogisticRegression,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.645021645021645,0.0,0,33,0,14,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_RandomForest,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.6320346320346321,0.0,0,33,0,14,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_ExtraTrees,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.6201298701298701,0.0,0,33,0,14,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SoftVotingEnsemble,standard,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.6125541125541125,0.0,0,33,0,14,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_RandomForest,robust,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.6320346320346321,0.0,0,33,0,14,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_ExtraTrees,robust,recall,0.05,0.34285714285714286,0.34285714285714286,1.0,0.5106382978723404,0.0,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.6201298701298701,0.0,0,33,0,14,107,800,30,14,15
