model,threshold,Accuracy,Precision,Recall,F1,MCC,AUC,TN,FP,FN,TP
ExtraTreesClf,0.31,0.6382978723404256,0.42105263157894735,0.5714285714285714,0.48484848484848486,0.22187883721335555,0.6753246753246753,22,11,6,8
ExtraTreesClf,0.32,0.6808510638297872,0.4666666666666667,0.5,0.4827586206896552,0.25270006575448933,0.6753246753246753,25,8,7,7
ExtraTreesClf,0.33,0.7021276595744681,0.5,0.5,0.5,0.2878787878787879,0.6753246753246753,26,7,7,7
ExtraTreesClf,0.34,0.7021276595744681,0.5,0.42857142857142855,0.46153846153846156,0.25879698850951793,0.6753246753246753,27,6,8,6
ExtraTreesClf,0.35000000000000003,0.7021276595744681,0.5,0.42857142857142855,0.46153846153846156,0.25879698850951793,0.6753246753246753,27,6,8,6
ExtraTreesClf,0.36,0.7446808510638298,0.6,0.42857142857142855,0.5,0.34345235180373707,0.6753246753246753,29,4,8,6
ExtraTreesClf,0.37,0.7446808510638298,0.625,0.35714285714285715,0.45454545454545453,0.32397151488601966,0.6753246753246753,30,3,9,5
ExtraTreesClf,0.38,0.7446808510638298,0.625,0.35714285714285715,0.45454545454545453,0.32397151488601966,0.6753246753246753,30,3,9,5
ExtraTreesClf,0.39,0.723404255319149,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.2502318034804895,0.6753246753246753,30,3,10,4
ExtraTreesClf,0.4,0.7446808510638298,0.6666666666666666,0.2857142857142857,0.4,0.30849263350006023,0.6753246753246753,31,2,10,4
ExtraTreesClf,0.41000000000000003,0.7659574468085106,0.8,0.2857142857142857,0.42105263157894735,0.37883611319363125,0.6753246753246753,32,1,10,4
ExtraTreesClf,0.42,0.7659574468085106,0.8,0.2857142857142857,0.42105263157894735,0.37883611319363125,0.6753246753246753,32,1,10,4
ExtraTreesClf,0.43,0.7659574468085106,0.8,0.2857142857142857,0.42105263157894735,0.37883611319363125,0.6753246753246753,32,1,10,4
ExtraTreesClf,0.44,0.7659574468085106,0.8,0.2857142857142857,0.42105263157894735,0.37883611319363125,0.6753246753246753,32,1,10,4
ExtraTreesClf,0.45,0.7446808510638298,0.75,0.21428571428571427,0.3333333333333333,0.3015322125810123,0.6753246753246753,32,1,11,3
ExtraTreesClf,0.46,0.7446808510638298,0.75,0.21428571428571427,0.3333333333333333,0.3015322125810123,0.6753246753246753,32,1,11,3
ExtraTreesClf,0.47000000000000003,0.723404255319149,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.21056946332494045,0.6753246753246753,32,1,12,2
ExtraTreesClf,0.48,0.723404255319149,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.21056946332494045,0.6753246753246753,32,1,12,2
ExtraTreesClf,0.49,0.723404255319149,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.21056946332494045,0.6753246753246753,32,1,12,2
ExtraTreesClf,0.5,0.723404255319149,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.21056946332494045,0.6753246753246753,32,1,12,2
ExtraTreesClf,0.51,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.52,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.53,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.54,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.55,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.56,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.5700000000000001,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.58,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.59,0.7021276595744681,0.5,0.07142857142857142,0.125,0.09317756533661245,0.6753246753246753,32,1,13,1
ExtraTreesClf,0.6,0.6808510638297872,0.0,0.0,0.0,-0.0960346885066768,0.6753246753246753,32,1,14,0
ExtraTreesClf,0.61,0.6808510638297872,0.0,0.0,0.0,-0.0960346885066768,0.6753246753246753,32,1,14,0
ExtraTreesClf,0.62,0.6808510638297872,0.0,0.0,0.0,-0.0960346885066768,0.6753246753246753,32,1,14,0
ExtraTreesClf,0.63,0.6808510638297872,0.0,0.0,0.0,-0.0960346885066768,0.6753246753246753,32,1,14,0
ExtraTreesClf,0.64,0.6808510638297872,0.0,0.0,0.0,-0.0960346885066768,0.6753246753246753,32,1,14,0
ExtraTreesClf,0.65,0.7021276595744681,0.0,0.0,0.0,0.0,0.6753246753246753,33,0,14,0
ExtraTreesClf,0.66,0.7021276595744681,0.0,0.0,0.0,0.0,0.6753246753246753,33,0,14,0
