candidate,weights,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_AUC,Dev_MCC,Dev_TN,Dev_FP,Dev_FN,Dev_TP,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_MCC,Test_TN,Test_FP,Test_FN,Test_TP
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.250;GradientBoostingClf:0.250;RandomForestClf:0.500,0.5200000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5181159420289855,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.8030303030303031,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.200;GradientBoostingClf:0.200;RandomForestClf:0.400;SVC_RBF:0.200,0.4900000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5253623188405797,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.8008658008658008,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.143;GradientBoostingClf:0.143;RandomForestClf:0.286;SVC_RBF:0.429,0.4600000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5144927536231885,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7965367965367964,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.200;GradientBoostingClf:0.200;RandomForestClf:0.400;ExtraTreesClf:0.200,0.5200000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.572463768115942,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7987012987012986,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.167;GradientBoostingClf:0.167;LogisticRegression:0.167;SVC_RBF:0.500,0.5400000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.4963768115942029,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7792207792207793,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.250;GradientBoostingClf:0.250;LogisticRegression:0.250;ExtraTreesClf:0.250,0.6600000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5434782608695652,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7857142857142857,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.200;GradientBoostingClf:0.200;LogisticRegression:0.200;ExtraTreesClf:0.200;SVC_RBF:0.200,0.6000000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5289855072463767,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7878787878787878,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.167;GradientBoostingClf:0.167;LogisticRegression:0.167;ExtraTreesClf:0.167;SVC_RBF:0.333,0.56,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5144927536231884,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7878787878787878,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.167;GradientBoostingClf:0.167;LogisticRegression:0.167;RandomForestClf:0.167;SVC_RBF:0.333,0.56,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5108695652173914,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.79004329004329,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.143;GradientBoostingClf:0.143;LogisticRegression:0.143;RandomForestClf:0.143;SVC_RBF:0.429,0.5300000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5072463768115942,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7835497835497836,0.4682617889493368,33,0,10,4
